start	end	text
996080	1007000	Wie viele hunderte von Funktionen gibt es darin? Die kann man nicht alle durchtesten. Manche
1007000	1011040	Funktionen werden nur sehr selten benutzt. Natürlich wird man sich auf die repräsentativen
1011040	1019320	Anwendungsfälle stürzen beim Test und sehr viel versuchen auszuprobieren, klappt das alles. Aber
1019320	1027540	vollständig heißt, jede einzelne Situation der Anwendung auszuprobieren, ist eigentlich nicht
1027540	1035840	möglich. Ja, dritter Grundsatz greift das auf, was ich gerade eben schon angesprochen habe,
1035840	1043080	frühes Testen, Sparzeit und Geld. Also nicht erst, wenn das Produkt fertig ist, sondern unter
1043080	1052040	Umständen zu sehr wohl überlegten Zeitpunkten innerhalb der Entwicklung bereits Tests einplanen.
1052040	1060000	Denken Sie an gerade so konzeptionelle Fehler, damit man die auch noch beheben kann. Häufung
1060000	1066640	von Fehlerzuständen. Fehlerzustände sind ungleichmäßig verteilt. Das heißt,
1066640	1072960	man hat unter Umständen Module, die sehr fehlerzustandsreich sind und die muss man
1072960	1084000	identifizieren und dort Tests intensivieren. Vorsicht vor dem Pestizidparadoxon. Alte Tests
1084000	1093520	verlieren ihre Wirkung zur Erkennung von Fehlerzuständen. Weiterentwickelte Programmteile
1093720	1101680	werden nämlich so nicht erfasst. Das heißt, man hat oder das meint, wenn man viele Tests auch
1101680	1105200	schon durchgeführt hat, man kann Tests ja durchaus automatisiert auch durchführen.
1105200	1112720	Da gibt es ja mittlerweile auch Tests, wo man sowas machen kann. Ja, wenn ich dann einfach die
1112720	1122560	bestehenden Tests nochmal automatisiert ablaufen lasse, dann habe ich zwar getestet,
1122560	1128360	aber ich habe meine Tests nicht auf neu entwickelte Programmteile angepasst. Die
1128360	1135440	werden also durch alte Tests nicht erfasst. Das heißt also, ich muss auch meine Tests,
1135440	1143400	die ich durchführe, immer wieder auf das Programm anpassen. Ja, Testen ist kontextabhängig. Wenn ich
1143400	1147480	nur Hotelbuchungen durchführen möchte. Jetzt bin ich auf einer Dienstreise und es hat sich
1147480	1155760	festgestellt, ich muss bei dem Kunden noch einen Tag länger bleiben. Ja, da gibt es dann
1155760	1161400	unterschiedliche Situationen. Entweder sitze ich bei dem Kunden noch im Büro und darf dessen Rechner
1161400	1167800	benutzen und kann dann am Desktop vielleicht mein Hotelzimmer für die eine Nacht buchen oder aber
1167800	1177200	ich bin schon unterwegs, sitze an der Bushaltestelle oder auf dem Bahnsteig und muss über
1177200	1189520	irgendwelche mobilen Devices mein Hotelzimmer reservieren. Ja, also das Prinzip ist der gleiche
1189520	1198040	Anwendungsfall, aber ich habe einen unterschiedlichen Kontext. Ja, und weiterer Grundsatz des Testens,
1198040	1206560	der letzte. Das ist ein Trugschluss. Keine Fehler gefunden bedeutet ein brauchbares System. Das ist
1206560	1218800	überhaupt nicht der Fall. Software-Tests sind immer Stichproben. Ja, und denken Sie auch daran,
1218800	1225200	Endnutzer, die können Erwartungen und Erfahrungen mit Alt- und Konkurrenzprodukten einbringen und
1225200	1232840	haben davon eben auch ihre eigene Zugänge oder Zugangsweise zu einem bestehenden Produkt. Jetzt
1232840	1244800	kann man Fehler kategorisieren. Ja, das möchte ich mal relativ kurz halten. Fehlerwirkung,
1244800	1251200	Fehlerhandlung, Fehlerzustand. Zustand ist, wenn der Fehler einfach nur vorliegt. Fehlerwirkung ist
1251200	1259200	das, was daraus wirklich gemacht wird. Schauen wir mal hier auf zwei Dinge, die mir besonders
1259200	1266160	wichtig sind bei den Testen von Software-Produkten. Da ist nämlich einerseits der Begriff der
1266160	1273600	Verifikation und andererseits der Validierung. So, und die Verifikation, dabei handelt es sich um
1273600	1282360	die Sicherstellung, dass alle Teilergebnisse von Projektentwicklungsphasen konsistent sind. Das
1282360	1287800	heißt, hier gleiche ich mein Softwareprodukt ab mit dem Pflichtenheft. Ich habe also eine Vorgabe
1287800	1295680	und prüfe, ist das jetzt richtig umgesetzt, was im Pflichtenheft drin steht? Sind die
1295680	1303800	funktionalen und nicht funktionalen Anforderungen von der Spezifikation richtig umgesetzt? Ja,
1303800	1312240	wurde also das System technisch richtig entwickelt. Das kann ich sogar machen, ohne dass ich anwende
1312240	1319480	einbeziehe. So, und denken wir mal an unsere Praktikumsaufgaben. Da haben wir ja diese
1319480	1328240	Vermögensverwaltung oder auch die Projektbeantragungssoftware und die Frage, die man hier stellen kann ist eben,
1328240	1337200	funktioniert die Vermögensverwaltung? Kann ich ein Projekt hier beantragen? Funktioniert das? Und das heißt,
1337200	1342440	das ist also die Frage hier zu stellen, wurde das System richtig entwickelt? Das ist die
1342440	1352360	Verifikation. Aber ganz wichtig ist aber auch, und zwar aus Nutzer, aus Kundensicht, die Validierung.
1352360	1358600	Ich meine, als Kunde, da gehe ich mal davon aus, dass das, was ich da angeboten bekomme, wofür ich
1358600	1365280	bezahlt habe, dass das richtig entwickelt wurde. Sprich, dass das Produkt funktioniert. Aber,
1365280	1371640	das ist, ich sag mal, eine notwendige Voraussetzung oder eine Minimalforaussetzung. Viel wichtiger ist
1371640	1379520	für mich als Nutzer, aber ist das denn valide? Das heißt, sind denn die Anforderungen, die ich
1379520	1386640	als Kunde habe, erfüllt worden? So, bei der Validierung, da ist also die Einbeziehung des
1386640	1395280	Kunden oder des Nutzers notwendig. Ja, da brauche ich also sowohl die Systemanalyse als auch die
1395280	1401880	Spekation, Spezifikation und das Endprodukt. Und hier geht es um die Frage, wurde das richtige
1401880	1408560	System entwickelt? Ja, es kann ja funktionieren, aber wenn ich in meiner Vermögensverwaltung dann
1408560	1416400	die Immobilien nicht richtig erfassen kann, na dann kann ich das vielleicht nicht richtig benutzen.
1416400	1423480	Oder wurde etwa nicht unterschieden zwischen Aktienwertpapieren und festverzinslichen
1423480	1428720	Wertpapieren. Diese Dinge haben sehr unterschiedliche Datenstrukturen, wenn man sie erfassen möchte.
1428720	1433080	Wenn ich eines davon nicht erfassen kann, na dann kann ich meine Vermögensverwaltung nicht richtig
1433080	1444120	verwenden. Ja, genauso Beispiele ließen sich finden für die Projektbeantragung. Ja, oder fehlen bei
1444200	1451200	der Vermögensverwaltung etwa die Grafiken. Dann kann ich keine Struktur meines Vermögens analysieren.
1451200	1458360	Das sind dann die Fragen, die gehen dahin, kann der Nutzer mit dem, was da entwickelt worden ist,
1458360	1468560	tatsächlich was anfangen? Und wenn das bejaht werden kann, dann ist das Produkt valide. Dann
1468560	1478120	kann man mit dem Produkt richtig arbeiten. Immer, als wenn eine Bachelorarbeit wäre, ein Ergebnis,
1478120	1486200	wenn Sie da ein Softwareprodukt erstellt haben, da sollten Sie immer validieren. Verifizieren
1486200	1492680	natürlich auch, aber in dem gleichen Sinne, wie eben gesagt, dass ein Produkt funktioniert. Na,
1492680	1498520	da gehen wir mal von aus, dass Sie da selbstständig genug dann gearbeitet und geprüft und getestet
1498520	1506320	haben, dass das System richtig entwickelt worden ist. Aber dass der Benutzer damit auch was anfangen
1506320	1519280	kann, das ist die wichtige Aussage und die zentrale Aussage. Und ja, wenn das eben nicht der Fall ist,
1519280	1524640	dann landet im einfachsten Fall so ein Produkt nur im Schrank, wird also nicht weiter benutzt.
1524640	1531240	Im schlimmsten Fall gibt es Rechtsstreitereien, ob da jemand dafür bezahlt. So, ordnen wir die
1531240	1539960	Tests mal in den Softwareentwicklungsprozess ein. Wir haben ja mal diesen Softwareentwicklungsprozess
1539960	1548760	gehabt in der folgenden Struktur. Vorstudie und Anforderungsanalyse, das Grobdesign mit der
1548760	1554240	Komponentenbildung. Dann kommt die iterativ inkrementelle Entwicklung und Systemtest und
1554240	1560760	Einführung. So, und diese beiden Schritte hier, iterativ inkrementelle Entwicklung und Systemtest,
1560760	1572160	da ist das, wo man spätestens mit Tests beginnen sollte. So, wie testet man denn einfach? Ja,
1572160	1579040	da sollte man auch wieder möglichst systematisch vorgehen. Das heißt, ein Test planen, dann muss
1579040	1584280	der Test vorbereitet werden. Er muss dann wirklich durchgeführt werden und das Ergebnis muss
1584280	1589200	dargestellt werden. Ich spreche hier jetzt nicht mehr von kleinen Tests, ob jetzt irgendeine Methode
1589200	1598920	funktioniert, sondern wirklich von der Validierung, dass das Produkt also das tut, was es tun soll.
1598920	1606000	So, und da gibt es jetzt innerhalb der Testplanung und Vorbereitung ein paar Dinge, mit denen sollte
1606000	1611000	man sich auseinandersetzen. Da gibt es erstmal den Testrahmen. Da werden die Rahmenbedingungen
1611000	1618880	für die Durchführung festgelegt. Die Kriterien für Start und Ende eines Testlaubs. In einem
1618880	1624960	Meilenstein wird eine gewisse Funktionalität definiert. Ja, und da hängen dann Start und
1624960	1632360	Ende in Mitteln. Welche Kriterien gibt es, sodass man sagen kann, ein Test ist gelungen oder hat
1632360	1638120	auch nicht funktioniert? Dazu gehören Fragen, ja, was soll denn getestet werden? Wie detailliert,
1638120	1645640	also welche Granularität soll denn bei den Tests an den Tag gelegt werden? Was sind so Ergebnisse,
1645640	1652720	die wir hier erwarten? Ja, und wie sehen die Endprodukte eines Tests aus und die
1652720	1658160	Kommunikationswege? Das heißt genauer, wie werden denn Fehler überhaupt dokumentiert? Das kann zum
1658160	1664600	Beispiel in einem schriftlichen Bericht sein. Wie werden Fehler kategorisiert? Eine Kategorisierung
1664600	1672080	kann man über Prioritätsstufen herbeiführen. Prioritätsstufen heißt, welcher Fehler muss als
1672080	1677400	erstes beseitigt werden und welcher ist mehr kosmetischer Art. Muss also zunächst mal noch
1677400	1686040	nicht eingegangen werden. Ja, und wer erhält denn welche Testergebnisse? Die Entwickler oder der
1686040	1692600	Projektleiter oder vielleicht noch andere Personen? Ja, im Testrahmen muss man sich dann überlegen,
1692600	1699440	welche Art von Tests werden denn durchgeführt, mit welchen Methoden wird getestet? Ja, und dann
1699440	1705160	muss natürlich auch die Testplattform konfiguriert werden. Das heißt, dazu müssen Anforderungen an
1705160	1713120	die Art und Software festgelegt werden, einschließlich der Systemumgebung. In der
1713120	1718520	Regel setzt man dafür ja dann irgendein Testsystem auf, was noch nicht produktiv ist,
1718520	1724600	um da nicht im schlechten Fall irgendwelchen Schaden anzurichten. Ja, und die Testdaten müssen
1724600	1732120	spezifiziert werden. Irgendwoher brauche ich vielleicht auch mal ein paar Daten für meinen
1732120	1746520	Tests. So, dann muss ich mich weiter damit befassen, welche Teststrategie möchte ich
1746520	1756520	denn verfolgen. Ja, dazu gehört insbesondere, welche Testsziele möchte ich denn mir stecken.
1756520	1764920	Zum Beispiel brauche ich einen korrekten Zugriff auf die Datenbasis. Wie sieht es mit einer
1764920	1772760	Fehlerfindungsreiter aus? Mit einem schnellen Test, wie halte ich den Aufwand da gering oder will
1772760	1777800	ich da mehr investieren? Da muss ich mir rechtzeitig darüber Gedanken machen, unter Umständen mit dem
1777800	1784440	Kunden auch absprechen oder zumindest muss ich mit dem Budget das in Einklang bringen mit den
1784520	1792720	Anzahl Personentagen, die ich für so einen Test einplane. Und wenn ich das weiß, kann ich
1792720	1802080	entsprechend Antworten geben, wie intensiv teste ich denn, wie viel Aufwand stecke ich da rein.
1802080	1810320	Ja, natürlich muss ich mir dann auch klar werden, wie führe ich die Tests durch, was die
1810320	1816960	Wiederholbarkeit von Tests angeht, wenn der nicht wiederholbar ist. Ja, dann ist das so mit der
1816960	1823840	Absicherung des Testergebnisses so eine Sache. Wenn ich einen Test zweimal mache, muss auch beide
1823840	1832000	mal der gleiche Fehler herauskommen. So, ja, und welche Anforderungen an die Tester stelle ich denn?
1832000	1838480	Wir haben, ist zwar ein etwas anderes Thema, kann man hier aber durchaus übertragen, bei der
1838480	1844760	Dokumentation auch mal über verschiedene Adressaten gesprochen. Da haben wir unterschieden, sind das
1844760	1852520	wenig Nutzer, sind das Experten. Solche Kriterien kann man hier auch anlegen bei den Testzielen.
1852520	1858040	Wen brauche ich denn, um meine Testziele zu erreichen? Möchte ich da eben so ein wenig Nutzer oder so ein
1858040	1867920	Experten hier in den Test einbeziehen? Ja, die dazu passende Teststrategie muss ich definieren,
1867920	1873560	das heißt, ich muss Prioritäten von Testfällen setzen, da ich, wir haben ja vorhin schon gesagt,
1873560	1879320	man kann nicht bei einem großen Produkt alle möglichen Anwendungsfälle durchtesten. Das heißt
1879320	1884840	also auch hier muss ich Testfälle priorisieren. Da kann ich einerseits in meinen Use Cases hineinschauen,
1884840	1891840	das sind ideale Quellen für Test Cases, aber insbesondere, wenn ich so eine Priorisierung vornehme,
1891840	1898720	da sollte ich mich natürlich auch den Kunden orientieren. Was haben die für Wünsche, was ist
1898720	1905400	für die Kunden am wichtigsten? Das sollte auf jeden Fall mal funktionieren und das sollte gut
1905400	1913200	untersucht sein. Ja, die ebenso gehört dann dazu die Testreihenfolge der Qualitäten des Systems,
1913200	1919160	da kann man ja noch ein bisschen weitergehen, hat so ein bisschen damit zu tun, was sind die Kunden
1919160	1924160	Wünsche. Da können Vermarktungsaspekte dann aber auch noch eine Rolle spielen, was ist mir wichtig,
1924160	1933880	was ich von meinem Produkt erzählen möchte und was es alles können soll und ja, das kann ich dann
1933880	1943280	eben auch entsprechend höher priorisieren. Ja, zu den Qualitätsprioritäten, denn da gehören dann
1943280	1951080	ja, Korrektheitssicherheit, die Performance, was jetzt die eine schnelle Entwicklung angeht,
1951080	1958000	das heißt eine baldige Verfügbarkeit, all dazu muss ich mir im Vorfeld Gedanken machen und klar
1958000	1965800	sagen, worauf lege ich hier welchen Wert. Wie sieht es mit dem Aufwand aus, mit dem Deckungsgrad,
1965800	1976280	mit Anforderungen, ja und mit der Flexibilität auch, falls sich Anforderungen durchaus mal ändern.
1976280	1987360	So, der Testgegenstand und die Testfälle. Ja, das muss man natürlich immer pro Produkt
1987360	1997520	oder Teilprodukt angeben. Das heißt, die zu testenden Systeme oder Teilsysteme auf Klassenebene,
1997520	2004560	naja, wenn ich sehr fein Granular testen möchte auch das. Ja, und dann muss ich angeben, was sind
2004560	2011400	denn die zu testenden Eigenschaften. Ja, will ich jetzt einen Anwendungsfall testen oder bei
2011400	2020880	detaillierter Granularität, welche Methode will ich testen, will ich in Algorithmus oder sowas
2020880	2031520	gar testen. Ja, unter Umständen kann man hier auch durchaus abgrenzen und sagen, so, welche
2031520	2037120	Eigenschaften unter Umständen nicht getestet werden sollen, das hängt dann eben von der
2037120	2043400	Priorisierung ab, wenn die Ressourcen, die für einen Test zur Verfügung stehen, eben sehr
